OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,X_COTIZADO,Y_COTIZADO,X_PENDIENTE,Y_PENDIENTE,DISTANCIA,CODIGO_PENDIENTE,CODIGO_COTIZADO,CODIGO_N,ZONAL,JEFATURA,EE_CC
78,23,2003,323.3022151842098,10,-71.54963905999995,-16.389208579999945,-71.54737820999998,-16.39115080099998,323.3,2019-05-121562,2019-01-97351,ClusterSimple_2019-05-121562,Analista Arequipa,AREQUIPA,EZENTIS
79,25,3188,466.51933093554607,1,-72.19227689999997,-16.365135899999927,-72.19648599999994,-16.36625800099995,466.52,2019-05-120929,2019-02-103368,ClusterSimple_2019-05-120929,Analista Arequipa,AREQUIPA,EZENTIS
80,25,2446,486.9795050897564,2,-72.19208879999996,-16.36509899999993,-72.19648599999994,-16.36625800099995,486.98,2019-05-120929,2019-02-99620,ClusterSimple_2019-05-120929,Analista Arequipa,AREQUIPA,EZENTIS
81,25,1894,489.284011673808,3,-72.19204581999998,-16.365174959999933,-72.19648599999994,-16.36625800099995,489.28,2019-05-120929,2019-01-95854,ClusterSimple_2019-05-120929,Analista Arequipa,AREQUIPA,EZENTIS
82,26,6163,0.8069169822297045,1,-71.58825699999994,-16.353327999999976,-71.58824979999997,-16.35333020099995,0.81,2019-05-119862,2019-04-116010,ClusterSimple_2019-05-119862,Analista Arequipa,,
83,27,3624,56.00869429051955,1,-71.59464321999997,-16.326679869999964,-71.59439912999994,-16.32712776099993,56.01,2019-05-121355,2019-02-105129,ClusterSimple_2019-05-121355,Analista Arequipa,AREQUIPA,EZENTIS
84,27,6348,61.05434428355124,2,-71.59451036999997,-16.326586599999928,-71.59439912999994,-16.32712776099993,61.05,2019-05-121355,2019-04-117373,ClusterSimple_2019-05-121355,Analista Arequipa,AREQUIPA,EZENTIS
85,27,6545,117.21544701663895,3,-71.59536567999999,-16.326626919999967,-71.59439912999994,-16.32712776099993,117.22,2019-05-121355,2019-05-118929,ClusterSimple_2019-05-121355,Analista Arequipa,AREQUIPA,EZENTIS
86,27,2905,120.53406137009523,4,-71.59537866999995,-16.32658766999998,-71.59439912999994,-16.32712776099993,120.53,2019-05-121355,2019-02-102058,ClusterSimple_2019-05-121355,Analista Arequipa,AREQUIPA,EZENTIS
87,27,3028,141.67172877195748,5,-71.59445099999994,-16.32840699999997,-71.59439912999994,-16.32712776099993,141.67,2019-05-121355,2019-02-102472,ClusterSimple_2019-05-121355,Analista Arequipa,AREQUIPA,EZENTIS
88,27,110,406.95217768286466,6,-71.59387614999997,-16.32348516999997,-71.59439912999994,-16.32712776099993,406.95,2019-05-121355,2018-12-86887,ClusterSimple_2019-05-121355,Analista Arequipa,AREQUIPA,EZENTIS
89,27,2322,409.2868675331177,7,-71.59380499999997,-16.323473999999976,-71.59439912999994,-16.32712776099993,409.29,2019-05-121355,2019-02-98877,ClusterSimple_2019-05-121355,Analista Arequipa,AREQUIPA,EZENTIS
90,28,5822,7.435531706427602,1,-69.29320899999993,-16.273564999999962,-69.29314677999997,-16.27353495099993,7.44,2019-05-121408,2019-04-113656,ClusterSimple_2019-05-121408,Analista Puno,PUNO,EZENTIS
91,28,2024,77.98775725831597,2,-69.29241836999995,-16.273494309999933,-69.29314677999997,-16.27353495099993,77.99,2019-05-121408,2019-01-97403,ClusterSimple_2019-05-121408,Analista Puno,PUNO,EZENTIS
92,29,4640,51.760153785970466,1,-69.09483678999999,-16.24708863999996,-69.09467342999994,-16.24664833099996,51.76,2019-05-118892,2019-03-108623,ClusterSimple_2019-05-118892,Analista Puno,PUNO,EZENTIS
93,29,2977,75.6644759568004,2,-69.09468001999994,-16.247332049999955,-69.09467342999994,-16.24664833099996,75.66,2019-05-118892,2019-02-102343,ClusterSimple_2019-05-118892,Analista Puno,PUNO,EZENTIS
94,30,765,69.72913761971725,1,-69.45819599999999,-16.213265999999976,-69.45872219999995,-16.212893760999975,69.73,2019-05-118958,2018-12-90064,ClusterSimple_2019-05-118958,Analista Puno,PUNO,EZENTIS
95,30,4551,97.39054130942392,2,-69.45936311999998,-16.21226840999998,-69.45872219999995,-16.212893760999975,97.39,2019-05-118958,2019-03-108361,ClusterSimple_2019-05-118958,Analista Puno,PUNO,EZENTIS
96,30,2967,152.226242718206,3,-69.45979769999997,-16.213795139999945,-69.45872219999995,-16.212893760999975,152.23,2019-05-118958,2019-02-102312,ClusterSimple_2019-05-118958,Analista Puno,PUNO,EZENTIS
97,30,5821,168.45122450360773,4,-69.46016599999996,-16.213502999999946,-69.45872219999995,-16.212893760999975,168.45,2019-05-118958,2019-04-113654,ClusterSimple_2019-05-118958,Analista Puno,PUNO,EZENTIS
98,30,3854,195.49328570248431,5,-69.45759789999994,-16.214286899999934,-69.45872219999995,-16.212893760999975,195.49,2019-05-118958,2019-03-105904,ClusterSimple_2019-05-118958,Analista Puno,PUNO,EZENTIS
99,31,3853,61.88312168157962,1,-69.63822349999998,-16.087258799999972,-69.63879157999997,-16.087364030999936,61.88,2019-05-118895,2019-03-105903,ClusterSimple_2019-05-118895,Analista Puno,PUNO,EZENTIS
100,31,4633,107.43735869566626,2,-69.63805757999995,-16.086701449999964,-69.63879157999997,-16.087364030999936,107.44,2019-05-118895,2019-03-108599,ClusterSimple_2019-05-118895,Analista Puno,PUNO,EZENTIS
101,31,5814,149.63962601878006,3,-69.63885099999999,-16.08601299999998,-69.63879157999997,-16.087364030999936,149.64,2019-05-118895,2019-04-113627,ClusterSimple_2019-05-118895,Analista Puno,PUNO,EZENTIS
102,31,3008,384.9741060493336,4,-69.63798465999997,-16.08397372999997,-69.63879157999997,-16.087364030999936,384.97,2019-05-118895,2019-02-102417,ClusterSimple_2019-05-118895,Analista Puno,PUNO,EZENTIS
103,32,3008,58.8047531138698,1,-69.63798465999997,-16.08397372999997,-69.63852999999995,-16.08404000099995,58.8,2019-05-120364,2019-02-102417,ClusterSimple_2019-05-120364,Analista Puno,PUNO,EZENTIS
104,32,5814,221.01581759384618,2,-69.63885099999999,-16.08601299999998,-69.63852999999995,-16.08404000099995,221.02,2019-05-120364,2019-04-113627,ClusterSimple_2019-05-120364,Analista Puno,PUNO,EZENTIS
105,32,4633,298.82039348827107,3,-69.63805757999995,-16.086701449999964,-69.63852999999995,-16.08404000099995,298.82,2019-05-120364,2019-03-108599,ClusterSimple_2019-05-120364,Analista Puno,PUNO,EZENTIS
106,32,3853,357.6972000089765,4,-69.63822349999998,-16.087258799999972,-69.63852999999995,-16.08404000099995,357.7,2019-05-120364,2019-03-105903,ClusterSimple_2019-05-120364,Analista Puno,PUNO,EZENTIS
107,33,342,267.6833594532359,1,-74.24695091999996,-15.863533529999927,-74.24527150499995,-15.865325005999978,267.68,2019-04-117357_2019-05-118725,2018-12-87870,SuperCluster_2019-04-117357_2019-05-118725,Analista Arequipa,AREQUIPA,EZENTIS
108,34,4189,256.13362723000046,1,-70.01913394999997,-15.850028909999935,-70.02048405999994,-15.84811849099998,256.13,2019-05-118980,2019-03-107121,ClusterSimple_2019-05-118980,Analista Puno,PUNO,EZENTIS
109,34,399,374.17001459247496,2,-70.02097699999996,-15.85146599999996,-70.02048405999994,-15.84811849099998,374.17,2019-05-118980,2018-12-88216,ClusterSimple_2019-05-118980,Analista Puno,PUNO,EZENTIS
110,34,946,416.1975366117791,3,-70.02172399999995,-15.84455399999996,-70.02048405999994,-15.84811849099998,416.2,2019-05-118980,2019-01-90987,ClusterSimple_2019-05-118980,Analista Puno,PUNO,EZENTIS
111,35,5611,103.89884051262912,1,-70.02135419999996,-15.841278299999942,-70.02056459999994,-15.84182360099993,103.9,2019-05-120798,2019-04-112632,ClusterSimple_2019-05-120798,Analista Puno,PUNO,EZENTIS
112,35,2282,164.73350201302256,2,-70.02193639999996,-15.842496499999982,-70.02056459999994,-15.84182360099993,164.73,2019-05-120798,2019-02-98739,ClusterSimple_2019-05-120798,Analista Puno,PUNO,EZENTIS
113,35,5153,164.82012202841284,3,-70.02170809999996,-15.840826999999933,-70.02056459999994,-15.84182360099993,164.82,2019-05-120798,2019-03-110378,ClusterSimple_2019-05-120798,Analista Puno,PUNO,EZENTIS
114,35,5746,326.50817785618136,4,-70.02343338999998,-15.84282073999998,-70.02056459999994,-15.84182360099993,326.51,2019-05-120798,2019-04-113337,ClusterSimple_2019-05-120798,Analista Puno,PUNO,EZENTIS
115,35,946,326.66651948007205,5,-70.02172399999995,-15.84455399999996,-70.02056459999994,-15.84182360099993,326.67,2019-05-120798,2019-01-90987,ClusterSimple_2019-05-120798,Analista Puno,PUNO,EZENTIS
116,35,3637,460.00211511380974,6,-70.02434819999996,-15.839857399999971,-70.02056459999994,-15.84182360099993,460.0,2019-05-120798,2019-02-105161,ClusterSimple_2019-05-120798,Analista Puno,PUNO,EZENTIS
117,35,3242,477.1045342746295,7,-70.02466649999997,-15.84350379999995,-70.02056459999994,-15.84182360099993,477.1,2019-05-120798,2019-02-103548,ClusterSimple_2019-05-120798,Analista Puno,PUNO,EZENTIS
118,36,6481,4.151604241898142,1,-70.02947439999997,-15.839511699999946,-70.02950799999996,-15.839493000999937,4.15,2019-05-119858,2019-05-118414,ClusterSimple_2019-05-119858,Analista Puno,PUNO,EZENTIS
119,36,2639,70.48567017388781,2,-70.02897829999995,-15.839870899999937,-70.02950799999996,-15.839493000999937,70.49,2019-05-119858,2019-02-100547,ClusterSimple_2019-05-119858,Analista Puno,PUNO,EZENTIS
