ITEM_PLAN;CTO_SIROPE;CTO_GIS_CMS;DIRECCION;NUMERO;TIPO;PISO;X;Y
19-2121500377;LLLFTK100716;;Cl. LAS MAGNOLIAS 461-465;;;;-79.03815321;-8.130331088
19-2121500376;SSLLLFTK100732;;CA. LOS JAZMINES 455;;;;-79.03878815;-8.130205083
19-2121500375;LLLFTK100744;;CL. JUAN JULIO GANOZA 465;;;;-79.0395123;-8.131187781
19-2121500375;LLLFTK100745;;CL. JUAN JULIO GANOZA 465;;;;-79.0395123;-8.131187781
19-2121500375;LLLFTK100746;;CL. JUAN JULIO GANOZA 465;;;;-79.0395123;-8.131187781
19-2121500374;LLLFD0501351;;AV. EL GOLF 40 - A 3;;;;-79.03562546;-8.136667801
19-2121500372;LLLFG0100112;;CA. SANTA MARIA MZ. X LT. 14;;;;-79.03711256;-8.128130503
19-2121500371;LLLFG0100111;;CA. SANTA MARIA MZ.X LT. 10;;;;-79.03721066;-8.128444224
19-2121500370;LLLFG0100121;;AV. FATIMA 395;;;;-79.038798;-8.128601163
19-2121500369;LLLFG0100123;;AV. FATIMA 247;;;;-79.04032681;-8.128000972
19-2121500367;LLLFG0100122;;CL. SANTA VERONICA MZ. R LT. 26-A;;;;-79.03887203;-8.127651382
19-2121500359;LLLFTK101471;;CA.ALMENDRAS MZ C LT 14;;;;-79.0326457;-8.129523863
19-2121500358;SSLLLFTK101464;;UPAO Mz. D lt. 5;;;5;-79.03020772;-8.130368077
19-2121500357;SSLLLFTK101462;;UPAO D Lt 14;;;;-79.02976771;-8.130752866
19-2121500352;SSLLLFTK101453;;Mz. E Lt. 9 - Galeno;;;;-79.0297408;-8.13016129
19-2121500349;MATK200311;;EDIF. T. RAMSEY - AV.TOMAS RAMSEY 930;;;11;-77.05827873;-12.09259182
19-2121500349;MATK200312;;EDIF. T. RAMSEY - AV.TOMAS RAMSEY 930;;;11;-77.05827873;-12.09259182
19-2121500349;MATK200313;;EDIF. T. RAMSEY - AV.TOMAS RAMSEY 930;;;8;-77.05827873;-12.09259182
19-2121500349;MATK200314;;EDIF. T. RAMSEY - AV.TOMAS RAMSEY 930;;;8;-77.05827873;-12.09259182
19-2121500349;MATK200315;;EDIF. T. RAMSEY - AV.TOMAS RAMSEY 930;;;5;-77.05827873;-12.09259182
19-2121500349;MATK200316;;EDIF. T. RAMSEY - AV.TOMAS RAMSEY 930;;;5;-77.05827873;-12.09259182
19-2121500349;MATK200317;;EDIF. T. RAMSEY - AV.TOMAS RAMSEY 930;;;3;-77.05827873;-12.09259182
19-2121500349;MATK200318;;EDIF. T. RAMSEY - AV.TOMAS RAMSEY 930;;;3;-77.05827873;-12.09259182
19-2121500334;MATK2005;;PRISMA BUSSINES TOWER-AV.JUAN ALIAGA 425;;;16;-77.06002477;-12.09511156
19-2121500334;MATK2006;;PRISMA BUSSINES TOWER-AV.JUAN ALIAGA 425;;;8;-77.06002477;-12.09511156
19-2121500334;MATK205A;;PRISMA BUSSINES TOWER-AV.JUAN ALIAGA 425;;;12;-77.06002477;-12.09511156
19-2121500334;MATK206A;;PRISMA BUSSINES TOWER-AV.JUAN ALIAGA 425;;;4;-77.06002477;-12.09511156
19-2121500332;MAG0100171;;TORRE CUSTER-AV.JAVIER PRADO OESTE 2442;;;15;-77.05646961;-12.09381525
19-2121500332;MAG0100272;;TORRE CUSTER-AV.JAVIER PRADO OESTE 2442;;;5;-77.05646961;-12.09381525
19-2121500332;MAG01004;;TORRE CUSTER-AV.JAVIER PRADO OESTE 2442;;;10;-77.05646961;-12.09381525
19-2121500322;SSLLLFTK100741;;Las Moreras 486;;;;-79.03917416;-8.130928241
